type,pattern,compromised,recall,symmetryH,symmetryV,length,start,end,stroke,direction,image
p,6.3.0.4.2.5.8,1,1,1.0,1.0,7,6,8,6.82842712474619,0,./analysis/3x3/Pattern-Proj-9APR/correct/18pattern1.bmp
p,4.3.6.7.8.5.2.1.0,1,1,1.0,1.0,9,4,0,8.0,0,./analysis/3x3/Pattern-Proj-9APR/correct/18pattern2.bmp
p,4.3.1.5.7,0,0,1.0,1.0,5,4,7,5.242640687119285,0,./analysis/3x3/Pattern-Proj-9APR/incorrect/18pattern3.bmp
p,6.7.8.5.2.1.4.3,0,1,1.0,1.0,8,6,3,7.0,0,./analysis/3x3/Pattern-Proj-9APR/correct/2pattern2.bmp
p,4.0.1.2.6.7.8,1,0,1.0,1.0,7,4,8,8.242640687119286,0,./analysis/3x3/Pattern-Proj-9APR/incorrect/2pattern3.bmp
p,2.5.4.7.6.3.0,0,1,1.0,0.6666666666666666,7,2,0,6.0,0,./analysis/3x3/Pattern-Proj-9APR/correct/2pattern1.bmp
p,2.1.0.4.6.7.8,1,1,1.0,1.0,7,2,8,6.82842712474619,0,./analysis/3x3/Pattern-Proj-9APR/correct/1pattern1.bmp
p,3.6.4.2,0,1,0.5,0.5,4,3,2,3.82842712474619,0,./analysis/3x3/Pattern-Proj-9APR/correct/1pattern3.bmp
p,1.3.7.5.2.0.6.8,0,1,1.0,1.0,8,1,8,11.242640687119286,0,./analysis/3x3/Pattern-Proj-9APR/correct/1pattern2.bmp
p,2.4.6.3.0,0,0,0.5,0.3333333333333333,5,2,0,4.82842712474619,0,./analysis/3x3/Pattern-Proj-9APR/incorrect/13pattern3.bmp
p,7.4.1.0.3.6,0,0,1.0,1.0,6,7,6,5.0,0,./analysis/3x3/Pattern-Proj-9APR/incorrect/13pattern2.bmp
p,6.3.0.1.2,0,0,1.0,1.0,5,6,2,4.0,0,./analysis/3x3/Pattern-Proj-9APR/incorrect/13pattern1.bmp
p,0.4.8.5.2.6,1,1,1.0,1.0,6,0,6,7.65685424949238,0,./analysis/3x3/Pattern-Proj-9APR/correct/9pattern1.bmp
p,2.1.0.3.4.5.7,0,0,1.0,1.0,7,2,7,6.414213562373095,0,./analysis/3x3/Pattern-Proj-9APR/incorrect/9pattern3.bmp
p,1.3.7.5,1,1,1.0,1.0,4,1,5,4.242640687119286,0,./analysis/3x3/Pattern-Proj-9APR/correct/9pattern2.bmp
p,0.1.2.4.7,0,1,1.0,1.0,5,0,7,4.414213562373095,0,./analysis/3x3/Pattern-Proj-9APR/correct/5pattern1.bmp
p,7.6.3.4.5.1,0,0,1.0,1.0,6,7,1,5.414213562373095,0,./analysis/3x3/Pattern-Proj-9APR/incorrect/5pattern3.bmp
p,3.1.5.7.4,0,1,1.0,1.0,5,3,4,5.242640687119286,0,./analysis/3x3/Pattern-Proj-9APR/correct/5pattern2.bmp
p,5.1.3.7.6,0,1,1.0,0.5,5,5,6,5.242640687119286,0,./analysis/3x3/Pattern-Proj-9APR/correct/7pattern3.bmp
p,0.4.8.7.6.3.1.2.5,0,1,1.0,1.0,9,0,5,9.242640687119284,0,./analysis/3x3/Pattern-Proj-9APR/correct/7pattern2.bmp
p,0.3.6.7.8,1,1,1.0,1.0,5,0,8,4.0,0,./analysis/3x3/Pattern-Proj-9APR/correct/7pattern1.bmp
p,0.1.4.3.6,0,0,1.0,0.6666666666666666,5,0,6,4.0,0,./analysis/3x3/Pattern-Proj-9APR/incorrect/16pattern2.bmp
p,0.4.8.7.5.2,0,0,1.0,1.0,6,0,2,6.242640687119286,0,./analysis/3x3/Pattern-Proj-9APR/incorrect/16pattern3.bmp
p,6.4.8.5.2.1,0,0,1.0,1.0,6,6,1,5.82842712474619,0,./analysis/3x3/Pattern-Proj-9APR/incorrect/16pattern1.bmp
p,0.4.8.5.2.1,0,0,0.6666666666666666,1.0,6,0,1,5.82842712474619,0,./analysis/3x3/Pattern-Proj-9APR/incorrect/17pattern3.bmp
p,1.5.7.3.4,0,0,1.0,1.0,5,1,4,5.242640687119286,0,./analysis/3x3/Pattern-Proj-9APR/incorrect/17pattern2.bmp
p,6.3.1.5.8.7.4,0,1,1.0,1.0,7,6,4,6.82842712474619,0,./analysis/3x3/Pattern-Proj-9APR/correct/17pattern1.bmp
p,0.3.1.4.2.5,0,1,1.0,1.0,6,0,5,5.82842712474619,0,./analysis/3x3/Pattern-Proj-9APR/correct/8pattern1.bmp
p,1.2.4.5.7,0,1,1.0,0.6666666666666666,5,1,7,4.82842712474619,0,./analysis/3x3/Pattern-Proj-9APR/correct/8pattern2.bmp
p,6.7.4.1.2.5.3,0,1,1.0,1.0,7,6,3,7.0,0,./analysis/3x3/Pattern-Proj-9APR/correct/8pattern3.bmp
g,0.1.2.4.6.7.8,0,0,1.0,1.0,7,0,8,6.82842712474619,0,./analysis/3x3/Pattern-Proj-9APR/guesses/1guess10.bmp
g,3.7.5.1,0,0,1.0,1.0,4,3,1,4.242640687119286,0,./analysis/3x3/Pattern-Proj-9APR/guesses/9guess3.bmp
g,0.3.6.7.8,0,0,1.0,1.0,5,0,8,4.0,0,./analysis/3x3/Pattern-Proj-9APR/guesses/8guess10.bmp
g,5.8.7.4,0,0,1.0,1.0,4,5,4,3.0,0,./analysis/3x3/Pattern-Proj-9APR/guesses/7guess10.bmp
g,0.1.2.4.6.7.8,0,0,1.0,1.0,7,0,8,6.82842712474619,0,./analysis/3x3/Pattern-Proj-9APR/guesses/9guess2.bmp
g,0.3.6.4,0,0,1.0,0.3333333333333333,4,0,4,3.414213562373095,0,./analysis/3x3/Pattern-Proj-9APR/guesses/16guess2.bmp
g,0.4.6.7.8,0,0,1.0,0.5,5,0,8,4.82842712474619,0,./analysis/3x3/Pattern-Proj-9APR/guesses/16guess3.bmp
g,0.1.2.5,0,0,0.3333333333333333,1.0,4,0,5,3.0,0,./analysis/3x3/Pattern-Proj-9APR/guesses/16guess1.bmp
g,7.4.0.1,0,0,1.0,1.0,4,7,1,3.414213562373095,0,./analysis/3x3/Pattern-Proj-9APR/guesses/16guess6.bmp
