type,pattern,compromised,recall,symmetryH,symmetryV,length,start,end,stroke,direction,image
g,9.8.4.5.6.10.14.15.11.7.3,0,0,1.0,1.0,11,9,3,7.5,0,./analysis/4x4/Pattern-Proj-24MAR/guesses/20guess8.bmp
g,0.1.2.3.7.11.15,0,0,1.0,1.0,7,0,15,4.5,0,./analysis/4x4/Pattern-Proj-24MAR/guesses/4guess2.bmp
g,3.7.11.10.9.5.15,0,0,1.0,1.0,7,3,15,5.871320343559642,0,./analysis/4x4/Pattern-Proj-24MAR/guesses/8guess10.bmp
g,0.1.2.3.7.11.15,0,0,1.0,1.0,7,0,15,4.5,0,./analysis/4x4/Pattern-Proj-24MAR/guesses/7guess10.bmp
g,0.1.2.3.6.9.12.13.14.15,0,0,1.0,1.0,10,0,15,7.681980515339463,0,./analysis/4x4/Pattern-Proj-24MAR/guesses/4guess3.bmp
g,0.5.10.15.11.7.6.4.8.12,0,0,1.0,1.0,10,0,12,8.431980515339465,0,./analysis/4x4/Pattern-Proj-24MAR/guesses/0guess10.bmp
g,0.1.5.6.10.11.15,0,0,0.5,1.0,7,0,15,4.5,0,./analysis/4x4/Pattern-Proj-24MAR/guesses/7guess3.bmp
g,14.10.6.2.5.8.9.11,0,0,1.0,1.0,8,14,11,6.621320343559642,0,./analysis/4x4/Pattern-Proj-24MAR/guesses/7guess2.bmp
g,12.8.4.0.5.10.15.11.7.3,0,0,1.0,1.0,10,12,3,7.681980515339463,0,./analysis/4x4/Pattern-Proj-24MAR/guesses/20guess3.bmp
g,12.8.4.0.1.2.3.7.11.15.14,0,0,1.0,1.0,11,12,14,7.5,0,./analysis/4x4/Pattern-Proj-24MAR/guesses/20guess5.bmp
g,4.8.12.13.14.15.11.7.3,0,0,1.0,1.0,9,4,3,6.0,0,./analysis/4x4/Pattern-Proj-24MAR/guesses/20guess4.bmp
g,0.5.10.15.11,0,0,0.5,1.0,5,0,11,3.931980515339464,0,./analysis/4x4/Pattern-Proj-24MAR/guesses/4guess10.bmp
g,0.4.8.12.13.14.15,0,0,1.0,1.0,7,0,15,4.5,0,./analysis/4x4/Pattern-Proj-24MAR/guesses/7guess5.bmp
g,12.9.6.3.2.1.0.5.10.15.14.13,0,0,1.0,1.0,12,12,13,10.113961030678928,0,./analysis/4x4/Pattern-Proj-24MAR/guesses/20guess6.bmp
g,3.6.5.8.13.14,0,0,1.0,0.6666666666666666,6,3,14,4.681980515339464,0,./analysis/4x4/Pattern-Proj-24MAR/guesses/15guess9.bmp
g,1.5.10.15,0,0,1.0,0,4,1,15,2.8713203435596424,0,./analysis/4x4/Pattern-Proj-24MAR/guesses/15guess8.bmp
g,0.1.2.3,0,0,0,1.0,4,0,3,2.25,0,./analysis/4x4/Pattern-Proj-24MAR/guesses/15guess1.bmp
g,0.4.8.12,0,0,1.0,0,4,0,12,2.25,0,./analysis/4x4/Pattern-Proj-24MAR/guesses/15guess3.bmp
g,1.4.8.13.14.11.7.2,0,0,1.0,1.0,8,1,2,6.492640687119285,0,./analysis/4x4/Pattern-Proj-24MAR/guesses/15guess2.bmp
g,0.1.2.3.7.6.5.4.8.9.10.11.15.14.13.12,0,0,1.0,1.0,16,0,12,11.25,0,./analysis/4x4/Pattern-Proj-24MAR/guesses/15guess5.bmp
